type,x_au,y_au,z_au,time
spacecraft,1.2437300968830163,1.6405104338640897,0,2028-08-27 00:00:00
spacecraft,1.2551888440963312,1.6389380538340506,0,2028-08-28 00:00:00
spacecraft,1.2666053560050705,1.6373105304441808,0,2028-08-29 00:00:00
spacecraft,1.2779795979675799,1.6356283701806436,0,2028-08-30 00:00:00
spacecraft,1.289311537941309,1.633892073913484,0,2028-08-31 00:00:00
spacecraft,1.3006011464058234,1.6321021369730868,0,2028-09-01 00:00:00
spacecraft,1.3118483962879581,1.630259049225628,0,2028-09-02 00:00:00
spacecraft,1.3230532628890432,1.6283632951475249,0,2028-09-03 00:00:00
spacecraft,1.334215723814152,1.6264153538988968,0,2028-09-04 00:00:00
spacecraft,1.3453357589033068,1.6244156993960361,0,2028-09-05 00:00:00
spacecraft,1.3564133501645836,1.6223648003829023,0,2028-09-06 00:00:00
spacecraft,1.3674484817090744,1.6202631205016467,0,2028-09-07 00:00:00
spacecraft,1.3784411396876317,1.6181111183621713,0,2028-09-08 00:00:00
spacecraft,1.3893913122293688,1.6159092476107368,0,2028-09-09 00:00:00
spacecraft,1.400298989381845,1.6136579569976215,0,2028-09-10 00:00:00
spacecraft,1.4111641630528988,1.6113576904438476,0,2028-09-11 00:00:00
spacecraft,1.4219868269540803,1.609008887106977,0,2028-09-12 00:00:00
spacecraft,1.4327669765456332,1.6066119814459905,0,2028-09-13 00:00:00
spacecraft,1.443504608982988,1.6041674032852582,0,2028-09-14 00:00:00
spacecraft,1.454199723064718,1.6016755778776106,0,2028-09-15 00:00:00
spacecraft,1.4648523191819185,1.5991369259665218,0,2028-09-16 00:00:00
spacecraft,1.4754623992689715,1.596551863847414,0,2028-09-17 00:00:00
spacecraft,1.4860299667556527,1.5939208034280912,0,2028-09-18 00:00:00
spacecraft,1.4965550265205443,1.5912441522883154,0,2028-09-19 00:00:00
spacecraft,1.5070375848457171,1.5885223137385345,0,2028-09-20 00:00:00
spacecraft,1.5174776493726467,1.5857556868777716,0,2028-09-21 00:00:00
spacecraft,1.5278752290593267,1.582944666650685,0,2028-09-22 00:00:00
spacecraft,1.5382303341385481,1.5800896439038137,0,2028-09-23 00:00:00
spacecraft,1.54854297607731,1.577191005441011,0,2028-09-24 00:00:00
spacecraft,1.5588131675373291,1.574249134078085,0,2028-09-25 00:00:00
spacecraft,1.569040922336625,1.5712644086966514,0,2028-09-26 00:00:00
spacecraft,1.579226255412137,1.5682372042972073,0,2028-09-27 00:00:00
spacecraft,1.5893691827833571,1.565167892051443,0,2028-09-28 00:00:00
spacecraft,1.5994697215169464,1.562056839353795,0,2028-09-29 00:00:00
spacecraft,1.609527889692302,1.5589044098722549,0,2028-09-30 00:00:00
spacecraft,1.6195437063680593,1.5557109635984407,0,2028-10-01 00:00:00
spacecraft,1.6295171915494928,1.5524768568969465,0,2028-10-02 00:00:00
spacecraft,1.639448366156798,1.5492024425539712,0,2028-10-03 00:00:00
spacecraft,1.6493372519942264,1.545888069825247,0,2028-10-04 00:00:00
spacecraft,1.659183871720053,1.542534084483269,0,2028-10-05 00:00:00
spacecraft,1.6689882488173495,1.5391408288638386,0,2028-10-06 00:00:00
spacecraft,1.6787504075655464,1.535708641911934,0,2028-10-07 00:00:00
spacecraft,1.6884703730127553,1.532237859226908,0,2028-10-08 00:00:00
spacecraft,1.6981481709488415,1.5287288131070338,0,2028-10-09 00:00:00
spacecraft,1.707783827879212,1.525181832593399,0,2028-10-10 00:00:00
spacecraft,1.7173773709993136,1.5215972435131626,0,2028-10-11 00:00:00
spacecraft,1.726928828169811,1.5179753685221804,0,2028-10-12 00:00:00
spacecraft,1.7364382278924329,1.5143165271470098,0,2028-10-13 00:00:00
spacecraft,1.7459055992864623,1.5106210358263044,0,2028-10-14 00:00:00
spacecraft,1.755330972065863,1.5068892079516019,0,2028-10-15 00:00:00
spacecraft,1.7647143765170104,1.503121353907518,0,2028-10-16 00:00:00
spacecraft,1.7740558434770228,1.499317781111356,0,2028-10-17 00:00:00
spacecraft,1.7833554043126714,1.495478794052135,0,2028-10-18 00:00:00
spacecraft,1.7926130908998488,1.4916046943290515,0,2028-10-19 00:00:00
spacecraft,1.801828935603592,1.4876957806893785,0,2028-10-20 00:00:00
spacecraft,1.8110029712586324,1.4837523490658115,0,2028-10-21 00:00:00
spacecraft,1.8201352311504624,1.4797746926132704,0,2028-10-22 00:00:00
spacecraft,1.829225748996909,1.4757631017451636,0,2028-10-23 00:00:00
spacecraft,1.8382745589301925,1.471717864169126,0,2028-10-24 00:00:00
spacecraft,1.8472816954794602,1.4676392649222338,0,2028-10-25 00:00:00
spacecraft,1.8562471935537859,1.4635275864057113,0,2028-10-26 00:00:00
spacecraft,1.8651710884256116,1.4593831084191298,0,2028-10-27 00:00:00
spacecraft,1.8740534157146327,1.4552061081941114,0,2028-10-28 00:00:00
spacecraft,1.8828942113721026,1.4509968604275476,0,2028-10-29 00:00:00
spacecraft,1.891693511665549,1.4467556373143353,0,2028-10-30 00:00:00
spacecraft,1.9004513531638985,1.4424827085796412,0,2028-10-31 00:00:00
spacecraft,1.9091677727229834,1.4381783415107026,0,2028-11-01 00:00:00
spacecraft,1.917842807471436,1.4338428009881694,0,2028-11-02 00:00:00
spacecraft,1.9264764947969415,1.4294763495170026,0,2028-11-03 00:00:00
spacecraft,1.935068872332864,1.4250792472569227,0,2028-11-04 00:00:00
spacecraft,1.9436199779452135,1.4206517520524322,0,2028-11-05 00:00:00
spacecraft,1.9521298497199593,1.416194119462407,0,2028-11-06 00:00:00
spacecraft,1.9605985259506706,1.4117066027892684,0,2028-11-07 00:00:00
spacecraft,1.9690260451264856,1.407189453107743,0,2028-11-08 00:00:00
spacecraft,1.977412445920394,1.4026429192932148,0,2028-11-09 00:00:00
spacecraft,1.9857577671778275,1.398067248049682,0,2028-11-10 00:00:00
spacecraft,1.99406204790555,1.3934626839373168,0,2028-11-11 00:00:00
spacecraft,2.0023253272608366,1.3888294693996395,0,2028-11-12 00:00:00
spacecraft,2.010547644540944,1.3841678447903143,0,2028-11-13 00:00:00
spacecraft,2.0187290391728516,1.3794780483995686,0,2028-11-14 00:00:00
spacecraft,2.0268695507032795,1.3747603164802464,0,2028-11-15 00:00:00
spacecraft,2.034969218788964,1.3700148832734969,0,2028-11-16 00:00:00
spacecraft,2.043028083187194,1.3652419810341079,0,2028-11-17 00:00:00
spacecraft,2.051046183746599,1.3604418400554872,0,2028-11-18 00:00:00
spacecraft,2.0590235603981775,1.3556146886942995,0,2028-11-19 00:00:00
spacecraft,2.066960253146566,1.3507607533947619,0,2028-11-20 00:00:00
spacecraft,2.0748563020615443,1.345880258712605,0,2028-11-21 00:00:00
spacecraft,2.0827117472697614,1.3409734273387035,0,2028-11-22 00:00:00
spacecraft,2.090526628946679,1.336040480122383,0,2028-11-23 00:00:00
spacecraft,2.098300987308742,1.3310816360944053,0,2028-11-24 00:00:00
spacecraft,2.1077674817670315,1.3243645004403524,0,2028-11-25 00:00:00
spacecraft,2.1171935267921738,1.3176219506006883,0,2028-11-26 00:00:00
spacecraft,2.126579157026196,1.3108542500811229,0,2028-11-27 00:00:00
spacecraft,2.1359244081891364,1.304061660500699,0,2028-11-28 00:00:00
spacecraft,2.1452293170563976,1.2972444416016604,0,2028-11-29 00:00:00
spacecraft,2.154493921436448,1.290402851259408,0,2028-11-30 00:00:00
