type,x_au,y_au,z_au,time
mars,0.9965332078603086,0.9867444143857246,0.4257069166286614,2028-06-07 00:00:00
jupiter,-5.4413316694204905,0.06091109914993834,0.1585500784228298,2028-06-07 00:00:00
saturn,7.823733011944264,4.68258929576626,1.5975561323653789,2028-06-07 00:00:00
spacecraft,-0.05288569199483391,1.545731025461416,0.01993687428150151,2028-06-08 00:00:00
westerwald,0.7261873789270272,-2.528990050177993,-0.013726012240554803,2028-06-08 00:00:00
chimaera,0.40677141615380263,-2.6537497248833777,-0.3332272339191457,2028-06-08 00:00:00
rockox,0.07877091204881075,-2.1721156726149324,-0.15006303011510785,2028-06-08 00:00:00
moza,-2.290271038227877,1.917293456004259,-0.027222829089987022,2028-06-08 00:00:00
ousha,2.1197554308671296,1.1961227409432176,-0.1854647975841735,2028-06-08 00:00:00
ghaf,-0.41946604217904215,2.6531162084403705,-0.03941443824558136,2028-06-08 00:00:00
justitia,0.7907525218133119,3.004656139593459,-0.29449929267866276,2028-06-08 00:00:00
venus,-0.107443442868964,-0.6577054384080379,-0.2891613377653721,2028-06-08 00:00:00
earth,-0.22238495456980936,-0.9086331716793392,-0.3938706304813491,2028-06-08 00:00:00
mars,0.9867572483810481,0.9963409163138726,0.4303722963320131,2028-06-08 00:00:00
jupiter,-5.441580106673825,0.05429208531183091,0.15571925447257914,2028-06-08 00:00:00
saturn,7.820453985358183,4.686884616957639,1.599471989771046,2028-06-08 00:00:00
spacecraft,-0.039960891579069104,1.551990926117654,0.018399327877450807,2028-06-09 00:00:00
westerwald,0.7356851675641055,-2.526578354715072,-0.013767076444771181,2028-06-09 00:00:00
chimaera,0.4163028797690399,-2.6520047689156674,-0.33107223544383946,2028-06-09 00:00:00
rockox,0.09057292604947557,-2.172688017697604,-0.15099122303470072,2028-06-09 00:00:00
moza,-2.2967642003552933,1.9098861094456694,-0.02517672629599826,2028-06-09 00:00:00
ousha,2.116576360115158,1.2065022521150388,-0.186100447049213,2028-06-09 00:00:00
ghaf,-0.4299640562189823,2.6525485889411953,-0.03820471330222018,2028-06-09 00:00:00
justitia,0.7825600549038086,3.0076952377541186,-0.29445325367234004,2028-06-09 00:00:00
venus,-0.08753664899469688,-0.6597960153705859,-0.2913620250736446,2028-06-09 00:00:00
earth,-0.20585532039479384,-0.9120220320812406,-0.39533971599431555,2028-06-09 00:00:00
mars,0.9768887670964618,1.0058440071088972,0.4349973163357833,2028-06-09 00:00:00
jupiter,-5.441818555449652,0.047672972915983464,0.152888145145194,2028-06-09 00:00:00
saturn,7.817172048201933,4.691178189139686,1.6013872502954793,2028-06-09 00:00:00
spacecraft,-0.027032936659022656,1.5581280886400468,0.016860326619958132,2028-06-10 00:00:00
westerwald,0.7451710143239347,-2.5241256295385663,-0.013807917153659456,2028-06-10 00:00:00
chimaera,0.4258281217269044,-2.6502201520242115,-0.32891228605165324,2028-06-10 00:00:00
rockox,0.10237235480510659,-2.17319828664656,-0.15191510209767478,2028-06-10 00:00:00
moza,-2.303231875841241,1.9024575531805734,-0.023130343326210008,2028-06-10 00:00:00
ousha,2.113354361390137,1.2168572921879182,-0.18673232157287645,2028-06-10 00:00:00
ghaf,-0.44045551335023747,2.6519405293431877,-0.03699440585963544,2028-06-10 00:00:00
justitia,0.7743599816783863,3.0107050816060505,-0.2944043505114836,2028-06-10 00:00:00
venus,-0.06756231782385927,-0.6613775905520781,-0.2933379096533059,2028-06-10 00:00:00
earth,-0.18926727008082678,-0.9151542991119495,-0.3966975747070804,2028-06-10 00:00:00
mars,0.9669289215909225,1.0152530351100153,0.4395816462737881,2028-06-10 00:00:00
jupiter,-5.442047015844284,0.04105377411403016,0.15005675564826995,2028-06-10 00:00:00
saturn,7.813887201446713,4.695470010568383,1.6033019131758879,2028-06-10 00:00:00
spacecraft,-0.01410287353751045,1.5641434075962959,0.015320007153384095,2028-06-11 00:00:00
westerwald,0.7546447694732139,-2.521631929198436,-0.013848533781750952,2028-06-11 00:00:00
chimaera,0.4353469957935369,-2.6483958775841603,-0.3267474151482884,2028-06-11 00:00:00
rockox,0.11416886558365752,-2.1736465583277265,-0.15283464743845995,2028-06-11 00:00:00
moza,-2.3096739987282713,1.8950078743714571,-0.02108370295900076,2028-06-11 00:00:00
ousha,2.110089625704466,1.2271877235071291,-0.1873604194420105,2028-06-11 00:00:00
ghaf,-0.45094026180685054,2.6512920876925485,-0.03578353504723204,2028-06-11 00:00:00
justitia,0.7661523879913442,3.0136856658375373,-0.2943525860105633,2028-06-11 00:00:00
venus,-0.0475358806528921,-0.6624491574838056,-0.29508755871424225,2028-06-11 00:00:00
earth,-0.17262514330704035,-0.9180290717756521,-0.3979438160362062,2028-06-11 00:00:00
mars,0.9568788732380021,1.0245673618889177,0.4441249617738541,2028-06-11 00:00:00
jupiter,-5.442265487969792,0.03443450105632683,0.14722509118924637,2028-06-11 00:00:00
saturn,7.810599446065143,4.699760079499975,1.6052159776495263,2028-06-11 00:00:00
spacecraft,-0.0011717255720946507,1.5700377746329828,0.013778503270742546,2028-06-12 00:00:00
westerwald,0.7641062834954833,-2.5190973085820842,-0.013888925746055335,2028-06-12 00:00:00
chimaera,0.44485935562996937,-2.646531949398333,-0.3245776522265977,2028-06-12 00:00:00
rockox,0.12596212674782384,-2.1740329133631437,-0.15374983939055384,2028-06-12 00:00:00
