JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2464593.500000000, A.D. 2035-Sep-23 00:00:00.0000,  1.741554375984033E+08, -3.558970476206278E+08, -8.219061867761910E+06,  1.568157519541351E+01,  9.741656984430074E+00, -2.099274638577916E+00,  1.321942654980034E+03,  3.963084378715104E+08, -1.813590709878242E+00,
2464594.500000000, A.D. 2035-Sep-24 00:00:00.0000,  1.755089352017345E+08, -3.550525373200270E+08, -8.400373269647092E+06,  1.564933988500995E+01,  9.807179571737480E+00, -2.097742679787603E+00,  1.321420201891479E+03,  3.961518103759028E+08, -1.812040664045839E+00,
2464595.500000000, A.D. 2035-Sep-25 00:00:00.0000,  1.768596352416207E+08, -3.542023692557635E+08, -8.581550787103251E+06,  1.561681676539304E+01,  9.872623508480153E+00, -2.096175452758047E+00,  1.320898199935699E+03,  3.959953181264988E+08, -1.810460002397392E+00,
2464596.500000000, A.D. 2035-Sep-26 00:00:00.0000,  1.782075128470607E+08, -3.533465502822523E+08, -8.762591370574176E+06,  1.558400573860819E+01,  9.937987428039323E+00, -2.094572902504078E+00,  1.320376657943349E+03,  3.958389637706617E+08, -1.808848675009965E+00,
2464597.500000000, A.D. 2035-Sep-27 00:00:00.0000,  1.795525431389135E+08, -3.524850873721728E+08, -8.943491965783060E+06,  1.555090671420902E+01,  1.000326995945393E+01, -2.092934974741679E+00,  1.319855584759467E+03,  3.956827499600680E+08, -1.807206631964558E+00,
2464598.500000000, A.D. 2035-Sep-28 00:00:00.0000,  1.808947012305538E+08, -3.516179876168367E+08, -9.124249513793588E+06,  1.551751960943963E+01,  1.006846972761144E+01, -2.091261615893196E+00,  1.319334989243475E+03,  3.955266793507048E+08, -1.805533823420525E+00,
2464599.500000000, A.D. 2035-Sep-29 00:00:00.0000,  1.822339622285450E+08, -3.507452582265358E+08, -9.304860951070741E+06,  1.548384434939521E+01,  1.013358535348802E+01, -2.089552773086579E+00,  1.318814880269127E+03,  3.953707546028574E+08, -1.803830199738278E+00,
2464600.500000000, A.D. 2035-Sep-30 00:00:00.0000,  1.835703012333221E+08, -3.498669065308686E+08, -9.485323209541634E+06,  1.544988086714496E+01,  1.019861545444090E+01, -2.087808394146974E+00,  1.318295266724439E+03,  3.952149783810852E+08, -1.802095711659939E+00,
2464601.500000000, A.D. 2035-Oct-01 00:00:00.0000,  1.849036933398843E+08, -3.489829399790379E+08, -9.665633216655090E+06,  1.541562910379714E+01,  1.026355864454962E+01, -2.086028427579079E+00,  1.317776157511536E+03,  3.950593533541785E+08, -1.800330310555032E+00,
2464602.500000000, A.D. 2035-Oct-02 00:00:00.0000,  1.862341136384900E+08, -3.480933661401184E+08, -9.845787895438775E+06,  1.538108900848323E+01,  1.032841353499319E+01, -2.084212822539211E+00,  1.317257561546432E+03,  3.949038821950912E+08, -1.798533948731330E+00,
2464603.500000000, A.D. 2035-Oct-03 00:00:00.0000,  1.875615372153449E+08, -3.471981927032897E+08, -1.002578416455464E+07,  1.534626053824124E+01,  1.039317873444192E+01, -2.082361528796996E+00,  1.316739487758708E+03,  3.947485675808440E+08, -1.796706579803466E+00,
2464604.500000000, A.D. 2035-Oct-04 00:00:00.0000,  1.888859391532768E+08, -3.462974274780375E+08, -1.020561893834941E+07,  1.531114365778227E+01,  1.045785284943098E+01, -2.080474496687920E+00,  1.316221945091075E+03,  3.945934121923943E+08, -1.794848159100543E+00,
2464605.500000000, A.D. 2035-Oct-05 00:00:00.0000,  1.902072945323834E+08, -3.453910783943231E+08, -1.038528912690137E+07,  1.527573833913674E+01,  1.052243448467477E+01, -2.078551677059761E+00,  1.315704942498821E+03,  3.944384187144701E+08, -1.792958644082036E+00,
2464606.500000000, A.D. 2035-Oct-06 00:00:00.0000,  1.915255784306457E+08, -3.444791535027316E+08, -1.056479163606203E+07,  1.524004456119289E+01,  1.058692224327577E+01, -2.076593021217831E+00,  1.315188488949141E+03,  3.942835898353688E+08, -1.791037994719453E+00,
2464607.500000000, A.D. 2035-Oct-07 00:00:00.0000,  1.928407659244982E+08, -3.435616609746062E+08, -1.074412336749385E+07,  1.520406230915935E+01,  1.065131472678516E+01, -2.074598480875453E+00,  1.314672593420367E+03,  3.941289282467264E+08, -1.789086173795282E+00,
2464608.500000000, A.D. 2035-Oct-08 00:00:00.0000,  1.941528320893495E+08, -3.426386091021873E+08, -1.092328121870340E+07,  1.516779157400235E+01,  1.071561053508380E+01, -2.072568008116883E+00,  1.314157264901130E+03,  3.939744366432669E+08, -1.787103147071194E+00,
2464609.500000000, A.D. 2035-Oct-09 00:00:00.0000,  1.954617520000578E+08, -3.417100062987679E+08, -1.110226208307268E+07,  1.513123235192293E+01,  1.077980826607329E+01, -2.070501555379479E+00,  1.313642512389496E+03,  3.938201177225426E+08, -1.785088883287212E+00,
2464610.500000000, A.D. 2035-Oct-10 00:00:00.0000,  1.967675007313634E+08, -3.407758610988848E+08, -1.128106284988970E+07,  1.509438464394190E+01,  1.084390651519515E+01, -2.068399075459901E+00,  1.313128344892134E+03,  3.936659741846846E+08, -1.783043353975265E+00,
2464611.500000000, A.D. 2035-Oct-11 00:00:00.0000,  1.980700533582937E+08, -3.398361821585561E+08, -1.145968040438069E+07,  1.505724845565093E+01,  1.090790387482163E+01, -2.066260521546091E+00,  1.312614771423552E+03,  3.935120087321748E+08, -1.780966533094847E+00,
2464612.500000000, A.D. 2035-Oct-12 00:00:00.0000,  1.993693849565539E+08, -3.388909782555762E+08, -1.163811162774605E+07,  1.501982379716910E+01,  1.097179893358588E+01, -2.064085847273149E+00,  1.312101801005477E+03,  3.933582240696588E+08, -1.778858396526782E+00,
2464613.500000000, A.D. 2035-Oct-13 00:00:00.0000,  2.006654706029248E+08, -3.379402582898664E+08, -1.181635339720225E+07,  1.498211068331057E+01,  1.103559027572672E+01, -2.061875006797433E+00,  1.311589442666379E+03,  3.932046229038038E+08, -1.776718921482109E+00,
