JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2462919.500000000, A.D. 2031-Feb-22 00:00:00.0000, -3.019877722582246E+08, -3.764296080872201E+07,  2.027835566888824E+07,  2.954033916522905E+00, -2.158217323086666E+01, -1.654915739584383E+00,  1.017369499507567E+03,  3.049997029516033E+08, -3.712272156433106E-01,
2462920.500000000, A.D. 2031-Feb-23 00:00:00.0000, -3.017272720202302E+08, -3.950699270565949E+07,  2.013501768206152E+07,  3.076052957105751E+00, -2.156658691167715E+01, -1.663083981050883E+00,  1.017264225996188E+03,  3.049681427468646E+08, -3.593303218816913E-01,
2462921.500000000, A.D. 2031-Feb-24 00:00:00.0000, -3.014562323272758E+08, -4.136964519554688E+07,  1.999097635832380E+07,  3.198001857413306E+00, -2.155024255552173E+01, -1.671196619808963E+00,  1.017162383521014E+03,  3.049376111409036E+08, -3.474171461889453E-01,
2462922.500000000, A.D. 2031-Feb-25 00:00:00.0000, -3.011746594789729E+08, -4.323085279596615E+07,  1.984623651901341E+07,  3.319875073556555E+00, -2.153314044800647E+01, -1.679253256772888E+00,  1.017063976698794E+03,  3.049081095177863E+08, -3.354882142016759E-01,
2462923.500000000, A.D. 2031-Feb-26 00:00:00.0000, -3.008825602539415E+08, -4.509055005135006E+07,  1.970080301980594E+07,  3.441667061369843E+00, -2.151528092507343E+01, -1.687253496193583E+00,  1.016969009994498E+03,  3.048796392160770E+08, -3.235440535562135E-01,
2462924.500000000, A.D. 2031-Feb-27 00:00:00.0000, -3.005799419098051E+08, -4.694867153733096E+07,  1.955468075042367E+07,  3.563372277101920E+00, -2.149666437298686E+01, -1.695196945710840E+00,  1.016877487720734E+03,  3.048522015286636E+08, -3.115851939558246E-01,
2462925.500000000, A.D. 2031-Feb-28 00:00:00.0000, -3.002668121831239E+08, -4.880515186508646E+07,  1.940787463434062E+07,  3.684985178114422E+00, -2.147729122827635E+01, -1.703083216402727E+00,  1.016789414037147E+03,  3.048257977025761E+08, -2.996121672505809E-01,
2462926.500000000, A.D. 2031-Mar-01 00:00:00.0000, -2.999431792892691E+08, -5.065992568567818E+07,  1.926038962848345E+07,  3.806500223580495E+00, -2.145716197763096E+01, -1.710911922831154E+00,  1.016704792949781E+03,  3.048004289387960E+08, -2.876255075252960E-01,
2462927.500000000, A.D. 2031-Mar-02 00:00:00.0000, -2.996090519222358E+08, -5.251292769437897E+07,  1.911223072292873E+07,  3.927911875172630E+00, -2.143627715773804E+01, -1.718682683081995E+00,  1.016623628310424E+03,  3.047760963920605E+08, -2.756257511878524E-01,
2462928.500000000, A.D. 2031-Mar-03 00:00:00.0000, -2.992644392543992E+08, -5.436409263498365E+07,  1.896340294059692E+07,  4.049214597724346E+00, -2.141463735506244E+01, -1.726395118798050E+00,  1.016545923815928E+03,  3.047528011706579E+08, -2.636134370458760E-01,
2462929.500000000, A.D. 2031-Mar-04 00:00:00.0000, -2.989093509362136E+08, -5.621335530409813E+07,  1.881391133694403E+07,  4.170402859846808E+00, -2.139224320556682E+01, -1.734048855203160E+00,  1.016471683007509E+03,  3.047305443362179E+08, -2.515891063557597E-01,
2462930.500000000, A.D. 2031-Mar-05 00:00:00.0000, -2.985437970958620E+08, -5.806065055540204E+07,  1.866376099965145E+07,  4.291471134478715E+00, -2.136909539438013E+01, -1.741643521116085E+00,  1.016400909270038E+03,  3.047093269034997E+08, -2.395533028243194E-01,
2462931.500000000, A.D. 2031-Mar-06 00:00:00.0000, -2.981677883388618E+08, -5.990591330388097E+07,  1.851295704831520E+07,  4.412413899347086E+00, -2.134519465543063E+01, -1.749178748953408E+00,  1.016333605831347E+03,  3.046891498401824E+08, -2.275065725407124E-01,
2462932.500000000, A.D. 2031-Mar-07 00:00:00.0000, -2.977813357476346E+08, -6.174907853002644E+07,  1.836150463413532E+07,  4.533225637319470E+00, -2.132054177106875E+01, -1.756654174721787E+00,  1.016269775761556E+03,  3.046700140666657E+08, -2.154494638167609E-01,
