JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2461892.500000000, A.D. 2028-May-01 00:00:00.0000,  5.379096735200652E+07, -3.874037374120016E+08, -1.797326746472597E+06,  1.703844213200770E+01,  1.387349637606074E+00, -8.512677460523438E-02,  1.304650813440984E+03,  3.911244741931720E+08,  9.695196168871163E-01,
2461893.500000000, A.D. 2028-May-02 00:00:00.0000,  5.526263986843627E+07, -3.872806639516175E+08, -1.804666816368371E+06,  1.702800542507319E+01,  1.461561249441283E+00, -8.478205237484898E-02,  1.304928699059413E+03,  3.912077822057637E+08,  9.589050648109534E-01,
2461894.500000000, A.D. 2028-May-03 00:00:00.0000,  5.673339876797585E+07, -3.871511816775263E+08, -1.811977050900429E+06,  1.701729366659662E+01,  1.535701700603920E+00, -8.443614186788295E-02,  1.305203524248341E+03,  3.912901727246726E+08,  9.482813565527503E-01,
2461895.500000000, A.D. 2028-May-04 00:00:00.0000,  5.820322030526229E+07, -3.870152967655103E+08, -1.819257347581059E+06,  1.700630729829775E+01,  1.609770354678627E+00, -8.408904726258559E-02,  1.305475286385730E+03,  3.913716449638318E+08,  9.376486085815967E-01,
2461896.500000000, A.D. 2028-May-05 00:00:00.0000,  5.967208077305034E+07, -3.868730154462920E+08, -1.826507604289681E+06,  1.699504676081930E+01,  1.683766576356947E+00, -8.374077287694770E-02,  1.305743982883182E+03,  3.914521981472590E+08,  9.270069378239227E-01,
2461897.500000000, A.D. 2028-May-06 00:00:00.0000,  6.113995650212055E+07, -3.867243440054290E+08, -1.833727719284236E+06,  1.698351249374472E+01,  1.757689731652448E+00, -8.339132314976672E-02,  1.306009611186035E+03,  3.915318315090857E+08,  9.163564614410750E-01,
2461898.500000000, A.D. 2028-May-07 00:00:00.0000,  6.260682386118684E+07, -3.865692887831914E+08, -1.840917591210753E+06,  1.697170493557002E+01,  1.831539188080483E+00, -8.304070262038554E-02,  1.306272168773404E+03,  3.916105442935695E+08,  9.056972966356266E-01,
2461899.500000000, A.D. 2028-May-08 00:00:00.0000,  6.407265925680020E+07, -3.864078561744260E+08, -1.848077119110942E+06,  1.695962452364495E+01,  1.905314314799676E+00, -8.268891590874583E-02,  1.306531653158166E+03,  3.916883357550900E+08,  8.950295604903696E-01,
2461900.500000000, A.D. 2028-May-09 00:00:00.0000,  6.553743913324638E+07, -3.862400526284093E+08, -1.855206202428550E+06,  1.694727169409602E+01,  1.979014482716529E+00, -8.233596769678464E-02,  1.306788061886910E+03,  3.917652051581329E+08,  8.843533698397219E-01,
2461901.500000000, A.D. 2028-May-10 00:00:00.0000,  6.700113997243653E+07, -3.860658846486934E+08, -1.862304741013825E+06,  1.693464688174120E+01,  2.052639064556597E+00, -8.198186271180075E-02,  1.307041392539848E+03,  3.918411517772637E+08,  8.736688411711848E-01,
